question	gate	query_index	accession	n_samples	taxon	gdstype	pdat	title
A4	measured activity/history and lineage-linked response needed	1	GSE97055	16	Homo sapiens; Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing		Regeneration of the lung alveolus by an evolutionarily conserved epithelial progenitor.
A4	measured activity/history and lineage-linked response needed	1	GSE97052	2	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing		Regeneration of the lung alveolus by an evolutionarily conserved epithelial progenitor [ATAC-seq]
A4	measured activity/history and lineage-linked response needed	1	GSE92699	10	Mus musculus	Expression profiling by high throughput sequencing		Distinct mesenchymal lineages and niches promote epithelial self-renewal and myofibrogenesis in the lung
A4	measured activity/history and lineage-linked response needed	2	GSE247505	20	Mus musculus	Expression profiling by high throughput sequencing		Sustained NF-kB activation allows mutant alveolar stem cells to co-opt a regeneration program for tumor initiation
A4	measured activity/history and lineage-linked response needed	2	GSE247504	10	Mus musculus	Expression profiling by high throughput sequencing		Sustained NF-kB activation allows mutant alveolar stem cells to co-opt a regeneration program for tumor initiation [Expt2]
A4	measured activity/history and lineage-linked response needed	2	GSE247503	10	Mus musculus	Expression profiling by high throughput sequencing		Sustained NF-kB activation allows mutant alveolar stem cells to co-opt a regeneration program for tumor initiation [Expt1]
A4	measured activity/history and lineage-linked response needed	2	GSE145031	6	Mus musculus	Expression profiling by high throughput sequencing		Inflammatory Signals induce AT2 Cell-Derived Damage-Associated Transient Progenitors that Mediate Alveolar Regeneration
A4	measured activity/history and lineage-linked response needed	2	GSE144598	4	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing		Inflammatory Signals induce AT2 Cell-Derived Damage-Associated Transient Progenitors that Mediate Alveolar Regeneration
A4	measured activity/history and lineage-linked response needed	2	GSE144553	12	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing		Inflammatory Signals induce AT2 Cell-Derived Damage-Associated Transient Progenitors that Mediate Alveolar Regeneration
A5	needs another eligible adult-injury cohort for generality	1	GSE271578	12	Mus musculus	Expression profiling by high throughput sequencing		Kinetical scRNAseq Analysis Reveals Immune Mechanisms Underlying Hindered Lung Recovery following Influenza Virus Infection in Aged Hosts
A5	needs another eligible adult-injury cohort for generality	1	GSE264278	18	Mus musculus	Expression profiling by high throughput sequencing		TIme-cource single-cell RNA-seq analysis of bleomycin and LPS-induced lung injury and fibrosis
A5	needs another eligible adult-injury cohort for generality	1	GSE201698	6	Mus musculus	Expression profiling by high throughput sequencing		Time-course cellular interactome analysis by single-cell RNA-seq in bleomycin-induced pulmonary fibrosis
A5	needs another eligible adult-injury cohort for generality	1	GSE141259	60	Mus musculus	Expression profiling by high throughput sequencing		Longitudinal single-cell transcriptomics analysis of mouse lung upon bleomycin-induced injury
A5	needs another eligible adult-injury cohort for generality	2	GSE345596	5	Mus musculus	Expression profiling by high throughput sequencing		Time-resolved single-cell RNA sequencing of mouse lungs during acute Pseudomonas aeruginosa pneumonia
A5	needs another eligible adult-injury cohort for generality	2	GSE313673	6	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing		Prostaglandin I₂ Receptor Activation Promotes Alveolar Regeneration via the JUN/p53 Pathway [CUT&Tag]
A5	needs another eligible adult-injury cohort for generality	2	GSE313672	4	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing		Prostaglandin I₂ Receptor Activation Promotes Alveolar Regeneration via the JUN/p53 Pathway [Multiome-seq]
A5	needs another eligible adult-injury cohort for generality	2	GSE313671	2	Mus musculus	Expression profiling by high throughput sequencing		Prostaglandin I₂ Receptor Activation Promotes Alveolar Regeneration via the JUN/p53 Pathway [scRNA-seq]
A5	needs another eligible adult-injury cohort for generality	2	GSE304531	32	Mus musculus	Expression profiling by high throughput sequencing		Age-dependent immune responses and resident cell dynamics in young mice following pneumonia [RNA-Seq]
A5	needs another eligible adult-injury cohort for generality	2	GSE295484	10	Mus musculus	Expression profiling by high throughput sequencing		Age-dependent immune responses and resident cell dynamics in young mice following pneumonia
A7	replicated age-matched animals; current data is one well per condition	1	GSE305107	8	Homo sapiens	Methylation profiling by genome tiling array		Small activating RNA AW1-51 (CEBPA-51) elicits targeted DNA demethylation to promote gene activation [EPIC array]
A7	replicated age-matched animals; current data is one well per condition	1	GSE305099	8	Homo sapiens	Expression profiling by high throughput sequencing		Small activating RNA AW1-51 (CEBPA-51) elicits targeted DNA demethylation to promote gene activation [RNA-seq]
A7	replicated age-matched animals; current data is one well per condition	1	GSE245650	6	Mus musculus	Other		The Heme-regulated transcriptional repressor, BACH1 safeguards macrophage enhancer selection, activation andtissue adaptation [Capture Hi-C]
A7	replicated age-matched animals; current data is one well per condition	1	GSE245649	11	Mus musculus	Expression profiling by high throughput sequencing		The Heme-regulated transcriptional repressor, BACH1 safeguards macrophage enhancer selection, activation andtissue adaptation [RNA-seq_muscle]
A7	replicated age-matched animals; current data is one well per condition	1	GSE245648	24	Mus musculus	Expression profiling by high throughput sequencing		The Heme-regulated transcriptional repressor, BACH1 safeguards macrophage enhancer selection, activation andtissue adaptation [RNA-seq_BMDM]
A7	replicated age-matched animals; current data is one well per condition	1	GSE245647	62	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing		The Heme-regulated transcriptional repressor, BACH1 safeguards macrophage enhancer selection, activation andtissue adaptation [ChIP-seq]
A7	replicated age-matched animals; current data is one well per condition	2	GSE284147	12	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing		Establishing competence for trophectoderm specification in mouse embryos before the first lineage bifurcation
A7	replicated age-matched animals; current data is one well per condition	2	GSE278751	14	Homo sapiens	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing		A stem cell model identifies two alternative cell fates in CBFA2T3::GLIS2-driven acute megakaryoblastic leukemia initiation (Multiome scRNA-seq/scATAC-seq)
A7	replicated age-matched animals; current data is one well per condition	2	GSE277485	14	Homo sapiens	Expression profiling by high throughput sequencing		A stem cell model identifies two alternative cell fates in CBFA2T3::GLIS2-driven acute megakaryoblastic leukemia initiation (scRNA-seq)
A7	replicated age-matched animals; current data is one well per condition	2	GSE277468	22	Homo sapiens	Expression profiling by high throughput sequencing		A stem cell model identifies two alternative cell fates in CBFA2T3::GLIS2-driven acute megakaryoblastic leukemia initiation (RNA-seq)
A7	replicated age-matched animals; current data is one well per condition	2	GSE276998	20	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing		A stem cell model identifies two alternative cell fates in CBFA2T3::GLIS2-driven acute megakaryoblastic leukemia initiation (ATAC-seq)
A7	replicated age-matched animals; current data is one well per condition	2	GSE276996	12	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing		A stem cell model identifies two alternative cell fates in CBFA2T3::GLIS2-driven acute megakaryoblastic leukemia initiation (ChIP-seq)
A8	independent mature endpoints needed	1	GSE261508	6	Mus musculus	Expression profiling by high throughput sequencing		Identification of mesenchymal cell populations during neonatal lung development and their regulation by Fgf18
A8	independent mature endpoints needed	1	GSE215824	8	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing		Alveolar epithelial progenitor cells drive lung regeneration via dynamic changes in chromatin topology modulated by lineage-specific Nkx2-1 activity
A8	independent mature endpoints needed	1	GSE73861	4	Mus musculus	Expression profiling by high throughput sequencing		Development and Plasticity of Alveolar Type 1 Cells
A8	independent mature endpoints needed	2	GSE318967	16	Mus musculus	Expression profiling by high throughput sequencing		Secreted Frizzled-Related Protein 1 Controls Distal Lung Formation via Wnt and PDGF Signaling
A8	independent mature endpoints needed	2	GSE27964	36	Mus musculus	Expression profiling by array		Age-dependent decline in lung regeneration with loss of clonogenicity and myofibroblastic differentiation of lung fibroblasts
A9	RNA screen possible; protein/function data needed	1	GSE348037	8	Homo sapiens	Expression profiling by high throughput sequencing		TSPAN13 spatially organizes epidermal growth factor signaling to support divergent functional outcomes in senescence and cancer
A9	RNA screen possible; protein/function data needed	1	GSE330326	36	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing		NAB2::STAT6 Fusion Proteins Drive Nuclear Condensate Formation and Transcriptional Reprogramming in Solitary Fibrous Tumors
A9	RNA screen possible; protein/function data needed	1	GSE324380	4	Mus musculus	Expression profiling by high throughput sequencing		scRNA-seq of fibroblasts from inducible Cdh11 reporter mice
A9	RNA screen possible; protein/function data needed	1	GSE294583	6	Mus musculus	Expression profiling by high throughput sequencing		Cold-inducible RNA-binding protein promotes lung fibroblast activation via TLR2/4-dependent IL-6 signaling: implications in pulmonary fibrosis
A9	RNA screen possible; protein/function data needed	1	GSE306080	12	Homo sapiens	Expression profiling by high throughput sequencing		Extracellular Vesicle Cargo from Lipofibroblasts Mitigates COPD by Alveolar Type II Cell Restoration
A9	RNA screen possible; protein/function data needed	1	GSE293962	16	Homo sapiens	Expression profiling by high throughput sequencing		STL1267 Inhibits Myofibroblast Differentiation in a TGFβ1-Driven Human Lung Fibroblast Model
A9	RNA screen possible; protein/function data needed	2	GSE348037	8	Homo sapiens	Expression profiling by high throughput sequencing		TSPAN13 spatially organizes epidermal growth factor signaling to support divergent functional outcomes in senescence and cancer
A9	RNA screen possible; protein/function data needed	2	GSE310335	16	Homo sapiens	Expression profiling by high throughput sequencing		Early fibrotic niches establish tumour-permissive microenvironments
A9	RNA screen possible; protein/function data needed	2	GSE288758	2	Homo sapiens	Other		Spatial dynamics of the tumor microenvironment associated with emerging resistance to targeted therapy in EGFR-mutated non–small cell lung cancer
A9	RNA screen possible; protein/function data needed	2	GSE130807	11	Homo sapiens	Expression profiling by high throughput sequencing		Activation of Epidermal Growth Factor Receptor Pathway in Slow-Flow Vascular Malformations
A9	RNA screen possible; protein/function data needed	2	GSE77764	8	Homo sapiens	Expression profiling by array		Fibroblast growth factor receptor 3 overexpression mediates ALK inhibitor resistance in ALK-rearranged non-small cell lung cancer
A9	RNA screen possible; protein/function data needed	2	GSE106151	18	Homo sapiens	Expression profiling by array		Differential Gene Expression in Erlotinib-Treated Fibroblasts
A11	lack of a non-neoplastic injury comparator limits specificity claims	1	GSE312053	23	Homo sapiens	Other; Expression profiling by high throughput sequencing		Bridge to transplant using a flow-adaptive extracorporeal total artificial lung system following bilateral pneumonectomy
A11	lack of a non-neoplastic injury comparator limits specificity claims	1	GSE214770	2	Homo sapiens	Expression profiling by high throughput sequencing		An autonomous intrapulmonary inflammatory feedback response, mediated by surfactants, operates as an inherent viral defense mechanism: evidence from acute SARS-CoV-2 infection [Pseudovirus Infected Proximal Lung Organoid scRNA-seq]
A11	lack of a non-neoplastic injury comparator limits specificity claims	1	GSE214762	7	Homo sapiens	Expression profiling by high throughput sequencing		An autonomous intrapulmonary inflammatory feedback response, mediated by surfactants, operates as an inherent viral defense mechanism: evidence from acute SARS-CoV-2 infection [Prox, Distal, and Whole Lung Organoid scRNA-seq]
A11	lack of a non-neoplastic injury comparator limits specificity claims	1	GSE214752	4	Homo sapiens	Expression profiling by high throughput sequencing		An autonomous intrapulmonary inflammatory feedback response, mediated by surfactants, operates as an inherent viral defense mechanism: evidence from acute SARS-CoV-2 infection [Combined Proximal, Distal, and Whole Lung Organoid scRNA-seq]
A11	lack of a non-neoplastic injury comparator limits specificity claims	1	GSE214482	15	Homo sapiens	Expression profiling by high throughput sequencing		An autonomous intrapulmonary inflammatory feedback response, mediated by surfactants, operates as an inherent viral defense mechanism: evidence from acute SARS-CoV-2 infection [bulk RNA-seq]
A11	lack of a non-neoplastic injury comparator limits specificity claims	1	GSE198864	91	Homo sapiens	Expression profiling by high throughput sequencing		Human lungs show limited permissiveness for SARS-CoV-2 due to scarce ACE2 levels but virus-induced expansion of inflammatory macrophages  
A12	conditional component model; activation unmeasured	1	GSE292495	24	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing		Macrophage-specific targeting of histone demethylases with small-molecule inhibitors suppresses inflammatory responses in vivo [CUT&Run]
A12	conditional component model; activation unmeasured	1	GSE292494	15	Mus musculus	Expression profiling by high throughput sequencing		Macrophage-specific targeting of histone demethylases with small-molecule inhibitors suppresses inflammatory responses in vivo [RNA-seq]
A12	conditional component model; activation unmeasured	1	GSE317298	12	Mus musculus	Methylation profiling by genome tiling array		Multi-omics profiling reveals microenvironmental remodeling as a key driver of house dust mite-induced lung cancer progression
A12	conditional component model; activation unmeasured	1	GSE308855	12	Mus musculus	Expression profiling by high throughput sequencing		Multi-omics profiling reveals microenvironmental remodeling as a key driver of house dust mite-induced lung cancer progression
A12	conditional component model; activation unmeasured	1	GSE296097	26	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing		NF-κB-dependent redistribution of the GR cistrome recruits GR to inflammatory gene loci and correlates with reduced repression by glucocorticoid [GR_IkBaDN_ChIPseq]
A12	conditional component model; activation unmeasured	1	GSE296101	10	Homo sapiens	Genome binding/occupancy profiling by high throughput sequencing		NF-κB-dependent redistribution of the GR cistrome recruits GR to inflammatory gene loci and correlates with reduced repression by glucocorticoid [RNAP2_ChIPseq]
A13	IPF has six and three complete triads, below the ten-unit joint-model floor	1	GSE240911	1	Homo sapiens	Expression profiling by high throughput sequencing		A single-cell gene expression analysis in an in vitro co-culture model containing fibroblast cells directly mixed with NMU-manipulated lung adenocarcinoma cells
A13	IPF has six and three complete triads, below the ten-unit joint-model floor	1	GSE276934	1	Homo sapiens	Other		Image-based spatial transcriptomics identifies molecular niche dysregulation associated with distal lung remodeling in pulmonary fibrosis [Visium]
A13	IPF has six and three complete triads, below the ten-unit joint-model floor	1	GSE149878	4	Homo sapiens	Expression profiling by high throughput sequencing		Persistent viral activity, cytokine storm and lung fibrosis in severe COVID-19
A13	IPF has six and three complete triads, below the ten-unit joint-model floor	2	GSE292589	4	Homo sapiens	Expression profiling by high throughput sequencing; Other		Type I interferon–activated myeloid states are associated with less fibrotic stages in idiopathic pulmonary fibrosis
A13	IPF has six and three complete triads, below the ten-unit joint-model floor	2	GSE285246	12	Homo sapiens	Expression profiling by high throughput sequencing; Other		Spatially resolved atlas of IPF fibroblastic foci identifies that PAK2 kinase activation is involved in fibrogenesis
A13	IPF has six and three complete triads, below the ten-unit joint-model floor	2	GSE264038	12	Homo sapiens	Expression profiling by high throughput sequencing		WI-38 cell line as model for myofibroblast and lipofibroblast switch
A13	IPF has six and three complete triads, below the ten-unit joint-model floor	2	GSE233844	38	Homo sapiens	Expression profiling by high throughput sequencing		Single-cell profiling reveals immune aberrations in progressive idiopathic pulmonary fibrosis
A13	IPF has six and three complete triads, below the ten-unit joint-model floor	2	GSE136831	78	Homo sapiens	Expression profiling by high throughput sequencing		IPF Cell Atlas
A13	IPF has six and three complete triads, below the ten-unit joint-model floor	2	GSE122960	17	Homo sapiens	Expression profiling by high throughput sequencing		Single-Cell Transcriptomic Analysis of Human Lung Reveals Complex Multicellular Changes During Pulmonary Fibrosis II
A14	withdrawal and recipient-specific data needed	1	GSE271370	23	Homo sapiens	Other		Spatial transcriptomics unveils the in situ cellular and molecular hallmarks of the lung in fatal COVID-19
A14	withdrawal and recipient-specific data needed	1	GSE292589	4	Homo sapiens	Expression profiling by high throughput sequencing; Other		Type I interferon–activated myeloid states are associated with less fibrotic stages in idiopathic pulmonary fibrosis
A14	withdrawal and recipient-specific data needed	1	GSE331432	2	Homo sapiens	Expression profiling by high throughput sequencing		Characterizing Cellular Heterogeneity and Transcriptomic Features of Senotype Using Deep Graph Representation Learning
A14	withdrawal and recipient-specific data needed	1	GSE296682	9	Homo sapiens	Expression profiling by high throughput sequencing		Single-cell transcriptomics of bronchoalveolar lavage reveals divergent macrophage subpopulations and trajectories in interstitial lung disease
A14	withdrawal and recipient-specific data needed	1	GSE317902	33	Homo sapiens	Expression profiling by high throughput sequencing		Monocyte Subset Predicts Clinical Outcomes in Fibrotic Hypersensitivity Pneumonitis
A14	withdrawal and recipient-specific data needed	1	GSE295566	4	Mus musculus	Expression profiling by high throughput sequencing		Persistence of alveolar fibroblast-derived ADAMTS4+ cells during delayed resolution of pulmonary fibrosis
A14	withdrawal and recipient-specific data needed	2	GSE326497	36	Mus musculus	Expression profiling by high throughput sequencing		DNA N6-methylation orchestrates the pathogenicity of Mucorales fungi
A14	withdrawal and recipient-specific data needed	2	GSE292712	27	Mus musculus	Expression profiling by high throughput sequencing		Fibroblast STAT3 activation drives organ-specific premetastatic niche formation
A14	withdrawal and recipient-specific data needed	2	GSE299635	6	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing		Metastatic site influences driver gene function in pancreatic cancer [[InVitro ATAC-Seq]]
A14	withdrawal and recipient-specific data needed	2	GSE245827	75	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing		Metastatic site influences driver gene function in pancreatic cancer
A14	withdrawal and recipient-specific data needed	2	GSE245822	35	Mus musculus	Expression profiling by high throughput sequencing		Metastatic site influences driver gene function in pancreatic cancer [RNA-seq]
A14	withdrawal and recipient-specific data needed	2	GSE245821	16	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing		Metastatic site influences driver gene function in pancreatic cancer [ATAC-seq]
